Alien Number,Name,Planet of Origin,Earth Birthdate ,Favorite Earth Food,Favorite Earth Music Genre,Happiest Hobby/Pastime,Favorite Earth Book,Number of Eyes,Means of Ambulation,Favorite Footwear, Job Title,Salary (USD),Dream Job Title,Singing Voice,Bio
12,Charmaine,Graykor 5,9/12/1948,chocolate-covered crickets,jazz,calligraphy,Half of a Yellow Sun by Chimamanda Ngozi Adichie,2,"swimming, walking",flipper covers,Paleontologist,337225,Olympian Water Poloist,tenor,"Charmaine loves fossils from every society and planet, and helping to piece together the stories they tell of an earlier time. Once completing university studies in paleontology with a minor in swimming arts, Charmaine immediately transitioned to working on the now-famous Dig of Pleoria. "
13,Gill,Amphibia,1/4/1981,crawfish étouffée,punk rock,aquascaping,Where The Crawdads Sing by Delia Owens,2,"swimming, walking","flipper covers, none",Senior Hydrologist,503629,Senior Free-floater,bass,Gill carries on generations of tradition in his family as a hydrologist specializing in underground reservoirs of aquatic-based planetoids. Of note is his revolutionary studies in the adaptation and accumulation of life in estuaries and cenotes. He volunteers as an instructor in advanced swimming and walking to young Amphibians. 
14,"Mindigo, ""MIndigogo""",Amethystopia,4/15/1967,cauliflower casserole,disco,vintage camper restoration,Nomadland by Jessica Bruder,2,roller skating,roller skates,Transportation Technologist,557334,Laser Tag Referee,alto,"Transportation Technologist Mindigo earned the nickname “MindiGoGo” because of her tireless work in advanced travel and commodity conveyance. After earning a degree in transportation from Amethystopia’s premiere technical college, Mindigo quickly rolled up  through company ranks from cargo hauler to conveyance savant. She is recipient of the coveted Presidential Medal of Moving Stuff."
15,Nalda,Isronch Minor,5/19/1959,jackfruit fritters,"punk rock, 90s pop",pyrography,The Housekeeper and the Professor by Yoko Ogawa,2,"walking, tip-toeing",fluffy slippers,Mind Reader and Universal Translator,797703,Poet,alto,"Autodidact Nalda began work as a mind reader and universal translator in 2288 when founding the non-profit, Interplanetary Understanders and Lie Detectors, LLC (IULD). Through IULD, Nalda has successfully helped several formerly feuding planetary governments to pause, recognize their similarities, and eventually  understand what the other was actually saying, assisting in achieve lasting peace and collaboration. "
16,"Emmyloo, ""Em""",Maedora,2/16/1977,avocado toast,"baroque, classical, kizomba",scientific glassblowing,A Brief History of Time by Stephen Hawking,2,rolling,n/a,Interplanetary Theoretical Lexicographer,987404,Interplanetary Theoretical Lexicographer,soprano,"If you look up “lexicography” in the dictionary, you will see a photo of Emmyloo. She claims that her devotion to lexicography began as early as two years old, when she spoke her first full sentence. Fluent in 94 languages, Emmyloo helps in analyzing relationships among words and the nuances of their meanings and relationships to other words."
17,Zogtron,Amethystopia,11/15/1946,pizza,rock,reading,Charlotte's Web by E.B. White,3,"walking, running",sneakers,Intergalactic Navigator,911868,Intergalactic Vacation Tester,contralto,"Meet Zogtron, the whimsical Intergalactic Navigator with an insatiable curiosity for the cosmos! When not charting the stars, this cosmic explorer can be found engrossed in books from distant galaxies, indulging in their infinite wisdom. But Zogtron's passions extend beyond interstellar knowledge—nothing brings them more joy than devouring a slice of cosmic pizza, topped with stardust and moon-cheese. And when the celestial night falls, you'll catch Zogtron jamming to the intergalactic beats of rock music, strumming their cosmic guitar under the starry expanse. With Zogtron at the helm, every journey through space becomes a delightful adventure through the cosmos."
18,Xylorium,Strogarus,7/18/1928,pasta,pop,painting,"The Lion, the Witch, and the Wardrobe by C.S. Lewis",1,"walking, jumping",boots,Alien Linguist,90250,Alien Species Ambassador,tenor,"Xylorium is an enchanting linguist with a passion for unlocking the secrets of the universe through language! When not deciphering extraterrestrial dialects, this cosmic artist can be found painting vivid masterpieces that blend galaxies and dreams. Xylorium's creativity knows no bounds. And when it's time to refuel, they delight in savoring a steaming plate of intergalactic pasta, with sauces infused with nebula flavors. To keep their inspiration flowing, Xylorium grooves to the catchy tunes of pop music, their antenna swaying in rhythm to the cosmic beats. With Xylorium's linguistic prowess and artistic spirit, the universe becomes a tapestry of endless wonder."
19,Quasarix,Proboscisk,11/10/1996,sushi,jazz,hiking,Matilda by Roald Dahl,1,"swimming, walking",sandals,Celestial Ambassador,363495,Cosmic Chocolate Taste Tester,soprano,"Quasarix is the Celestial Ambassador of harmony and adventure! This cosmic being radiates peace and spreads goodwill across galaxies. When not fostering interstellar relations, Quasarix embarks on cosmic hikes, exploring celestial wonders. Their taste buds dance with delight over intergalactic sushi rolls. And as the stars twinkle in the night sky, Quasarix finds solace in the enchanting melodies of cosmic jazz, floating through space with rhythm and grace. With Quasarix as the emissary of celestial harmony, the universe resonates with joy, unity, and the sweet embrace of cosmic jazz."
20,Nebulon,Strogarus,7/3/1924,tacos,blues,cooking,The Secret Garden by Frances Hodgson Burnett,4,"walking, skipping",flip-flops,Extraterrestrial Chef,135687,Space Resort Critic,bass,"There's only one cosmic chef whose culinary creations are out of this world! With a dash of stardust and a sprinkle of cosmic flair, Nebulon whips up gastronomic wonders. When not concocting cosmic delicacies, they savor delectable tacos while grooving to the soulful melodies of cosmic blues. Bon appétit!"
21,Zephyrion,Krachonk,9/18/1970,burger,country,gardening,The Wind in the Willows by Kenneth Grahame,1,"walking, tip-toeing",high heels,Space Archaeologist,210817,Extraterrestrial Wildlife Photographer,falsetto,"Step into the enchanting world of Zephyrion, the Space Archaeologist with a heart that blooms like celestial flowers! Amidst unearthing ancient artifacts, Zephyrion's true passion lies in nurturing cosmic gardens, where alien flora blossoms in vibrant hues. Dreaming of capturing extraterrestrial wildlife through a cosmic lens, they envision a future as an intergalactic wildlife photographer. While tending to their celestial oasis, Zephyrion's ears sway to the gentle melodies of cosmic country music, harmonizing with the cosmos. With Zephyrion's love for exploration and a green thumb that nurtures dreams, the universe flourishes with wonder and melody."
22,Galactron,Amphibia,9/19/1925,fries,hip hop,knitting,Anne of Green Gables by L.M. Montgomery,3,"walking, jetpack",loafers,Galactic Tour Guide,573780,Stellar Surfing Instructor,tenor,"With an interstellar map in one hand and a knitting needle in the other, Galactron weaves cosmic tales while crafting celestial scarves. When not exploring the wonders of the universe, they satisfy their cosmic cravings with a plate of crispy fries, enjoying the taste of intergalactic comfort. And when the cosmic waves beckon, Galactron rides them with finesse, gliding through space like a cosmic surfer. With Galactron as your guide, prepare for a whimsical journey through the cosmos, where knitting, fries, and surfing intertwine in cosmic harmony."
23,Xenorium,Isronch Minor,4/10/1948,ice cream,rap,dancing,Harry Potter and the Philosopher's Stone by J.K. Rowling,1,walking,oxfords,Astrobiologist,621783,Planetary Mixologist (Cocktail Specialist),alto,"Xenorium, the groovy Astrobiologist who dances to the rhythm of the universe! When not studying extraterrestrial life, Xenorium busts out intergalactic dance moves that defy gravity. Their cosmic energy matches the swirling galaxies as they twirl and sway. And after a day of scientific exploration, Xenorium indulges in the sweet delight of interstellar ice cream, savoring flavors from distant solar systems. With headphones on and rhymes flowing, Xenorium rocks the cosmos with their cosmic rap, dropping stellar verses that resonate across the galaxies. Join Xenorium's cosmic dance party and embrace the cosmic beat!"
24,Astrolex,Hexapoda Minor,5/7/1921,chocolate,reggae,cycling,The Chronicles of Narnia by C.S. Lewis,1,"walking, tip-toeing",brogues,Planetary Fashion Designer,398278,Astrological Dream Interpreter,alto,"When not sketching celestial couture, Astrolex pedals through the cosmos on their intergalactic bicycle, exploring new horizons. They find solace in the rich taste of cosmic chocolate while grooving to the laid-back rhythms of reggae, infusing their designs with cosmic vibes. With Astrolex's stellar sense of fashion, cycling adventures, chocolate indulgence, and reggae beats, the universe becomes a runway of celestial style and cosmic rhythm."
25,Stellara,Maedora,6/12/1940,salad,folk,photography,The Boxcar Children by Gertrude Chandler Warner,3,"walking, jetpack",espadrilles,Zero Gravity Yoga Instructor,212372,Interstellar Luxury Travel Planner,tenor,"Captivated by the cosmic beauty, Stellara captures stellar moments with their celestial camera, freezing cosmic wonders in breathtaking photographs. Between poses, they savor a cosmic salad, a medley of intergalactic greens. And as the gentle melodies of folk play, Stellara finds harmony, guiding cosmic beings through the art of zero-gravity yoga. With Stellara's lens, salad bowl, and folk tunes, the universe becomes a cosmic canvas where yoga, photography, and flavors intertwine, creating a symphony of peace and nourishment."
26,Cosmion,Hexapoda Minor,5/12/1938,steak,classical,swimming,Little House on the Prairie by Laura Ingalls Wilder,2,walking,moccasins,Rocket Engineer,660322,Celestial Food Scientist,bass,"Get ready to blast off with Cosmion, the Rocket Engineer with a passion for propulsion! When not designing interstellar rockets, Cosmion dives into cosmic pools, swimming with elegance in zero gravity. With Cosmion at the helm, the universe becomes a stage of cosmic engineering, aquatic joy, savory delights, and timeless melodies. Prepare for a cosmic journey beyond the stars!"
27,Solariux,Maedora,9/7/1987,chicken,electronic,drawing,A Wrinkle in Time by Madeleine L'Engle,1,"walking, tip-toeing",ballet flats,Space DJ,"$9,271,700",Cosmic Fashion Consultant,soprano,"When not mesmerizing the universe with their electrifying mixes, Solariux wields cosmic brushes, sketching celestial wonders. They satisfy their cosmic cravings with a plate of finger-licking space chicken, savoring flavors from distant star systems. As pulsating electronic melodies fill the cosmic airwaves, Solariux's soul ignites, conducting symphonies that transcend time and space. With Solariux behind the turntables, the universe transforms into a pulsating dance floor, where art, chicken, and electronic beats collide in a fusion of rhythm and imagination."
28,Lunaris,Isronch Minor,8/8/1901,ramen,metal,writing,Where the Red Fern Grows by Wilson Rawls,1,"walking, jetpack",wedges,Cosmic Entertainer,340226,Space Art Curator,bass,"With a quill in hand, Lunaris spins intergalactic stories that ignite imaginations across the cosmos. When not enchanting audiences, they savor steaming bowls of ramen, slurping up flavors from distant star systems. And as celestial riffs reverberate through the galaxies, Lunaris embraces the raw power of cosmic metal, rocking the universe with their otherworldly melodies. Join Lunaris on a whimsical journey where writing, ramen, and metal converge, creating a symphony of cosmic creativity and savory delights. Let the show begin!"
29,Orionix,Pepinos IV,10/1/1994,curry,punk rock,fishing,The BFG by Roald Dahl,1,"swimming, walking",slippers,Astral Photographer,728070,Alien Technology Innovator,baritone,"Step into the cosmic lens of Orionix, the extraterrestrial Astral Photographer capturing celestial wonders in captivating frames! They satisfy their cosmic cravings with spicy bowls of interstellar curry, savoring flavors that transcend galaxies. As punk rock echoes through the cosmos, Orionix's heart pounds in rhythm with the rebellious melodies. With their camera in one hand and tripod in the other, Orionix creates a symphony of light, flavors, and punk rock, painting the universe with whimsical strokes of wonder."
30,Celestrox,Hexapoda Minor,1/15/1968,nachos,funk,camping,The Secret of the Old Clock by Carolyn Keene,2,"walking, tip-toeing",flip-flop sandals,Solar System Cartographer,99061,Galactic Music Composer,bass,"Celestrox is an Solar System Cartographer who has been mapping the vast realms of the solar system! When not charting celestial paths, Celestrox pitches their tent, embracing the wonders of camping under alien skies. They relish the crunchy delight of intergalactic nachos, savoring flavors that transport them to distant star systems. And as cosmic funk permeates the airwaves, Celestrox's feet move to the rhythm, grooving through the universe with interstellar swagger. Join Celestrox on their whimsical journey, where camping, nachos, and funk merge. Let the cosmic cartography begin!"
31,Astracon,Isronch Major,2/20/1911,burrito,disco,yoga,Bridge to Terabithia by Katherine Paterson,1,walking,platform shoes,Interstellar Detective,895281,Astro-ecologist,tenor,"Astracon is the Interstellar Detective unravelling mysteries across the universe! When not deciphering cryptic clues, Astracon finds serenity in the art of yoga, gracefully flowing through poses, even in their platform shoes! They indulge their appetite with flavorful burritos, savoring each  bite. And as disco beats fill the airwaves, Astracon grooves with finesse, bringing rhythm to their investigative pursuits. Let the cosmic investigation begin!"
32,Zenton,Strogarus,8/31/1953,dumplings,gospel,playing piano,The Outsiders by S.E. Hinton,2,"walking, jumping",clogs,Nebula Painter,572164,Intergalactic Starship Pilot,alto,"Zenton is an extraterrestrial artist whose brush strokes illuminate the cosmic nebulae! With ethereal melodies flowing from their fingertips, Zenton's piano keys dance in harmony with the universe. Between artistic creations, they savor delectable dumplings from distant galaxies, relishing flavors that transcend space and time. And as the soulful sounds of gospel resound, Zenton's spirit soars, infused with divine inspiration. "
33,Novastra,Zacon II,6/11/1914,pancakes,techno,dancing,The Tale of Despereaux by Kate DiCamillo,2,"swimming, walking",mary janes,Cosmic Counselor,449356,Stellar Architect of Extraterrestrial Habitats,baritone,"As a counselor, Novastra is guiding souls through the interstellar journey of self-discovery! When not imparting wisdom, Novastra dances among the stars, their moves lighting up the galaxies. They delight in fluffy intergalactic pancakes, savoring the sweet taste. And as pulsating techno beats reverberate through the cosmos, Novastra becomes one with the rhythm, channeling its energy into their counseling sessions. Join Novastra on a whimsical voyage, where dance, pancakes, and techno blend, creating a symphony of healing, nourishment, and ecstatic liberation."
34,Meteora,Amethystopia,4/16/1951,waffles,house,skateboarding,The Giver by Lois Lowry,3,"walking, jetpack",gladiator sandals,Warp Drive Technician,95328,Cosmic Adventure Filmmaker,baritone,"Meteora is a cosmic skateboarding enthusiast and master of warp drive technology! When not tinkering with interstellar engines, Meteora glides through the cosmos on their cosmic skateboard, defying gravity with stylish flips and tricks. They savor in the delight of waffles, indulging in fluffy goodness that transcends planetary boundaries. And as pulsating house beats fill the soundscape, Meteora's passion ignites, infusing their warp drive innovations with rhythm and groove. "
35,Stellarix,Hexapoda Minor,1/31/1961,sandwich,alternative,playing soccer,Holes by Louis Sachar,1,walking,stilettos,Alien Botanist,391688,Space Archaeologist of Ancient Civilizations,baritone and falsetto,"Welcome to the world of Stellarix, an Alien Botanist exploring the wonders of interstellar flora! When not studying alien plants, Stellarix kicks cosmic goals on the soccer field, their otherworldly skills dazzling opponents from distant galaxies. They refuel their energy with scrumptious sandwiches, combining flavors that transport them to celestial realms. And as the alternative beats reverberate through the galaxies, Stellarix's spirit soars, finding solace and inspiration in the eclectic melodies. Join Stellarix on their whimsical journey, where soccer, sandwiches, and alternative music converge, creating a symphony of exploration, flavor, and unique rhythms. "
36,Interion,Graykor 5,11/11/1981,popcorn,indie,reading,Pippi Longstocking by Astrid Lindgren,3,"swimming, walking",boat shoes,Starship Captain,287717,Astrological Life Coach,baritone,"Set a course for adventures with Interion, the Starship Captain navigating the celestial seas! When not charting intergalactic routes, Interion immerses themselves in the cosmic pages of literature, exploring vast realms of knowledge and imagination. They savor the crunch of interstellar popcorn, popping kernels of flavor that transcend galaxies. And as indie melodies drift through the expanse, Interion's spirit takes flight, finding solace and inspiration in the eclectic tunes."
37,Nebulare,Zacon II,5/15/1929,donuts,grunge,birdwatching,Heidi by Johanna Spyri,2,"walking, jetpack",running shoes,UFO Investigator,12633,Planetary Ambassador of Peace and Harmony,alto,"Meet Nebulare, the whimsical UFO Investigator exploring the planetary enigmas! When not on the trail of unidentified flying objects, Nebulare's eyes are fixed on the skies, seeking rare intergalactic birds with binoculars in hand. They indulge their cravings with sugary delights of donuts, savoring each heavenly bite. And as grunge echoes through the wavelengths, Nebulare's spirit resonates with the raw energy."
38,Astroflux,Zacon II,6/18/1973,cookies,R&B,sculpting,The Hobbit by J.R.R. Tolkien,1,"walking, jumping",hiking boots,Asteroid Miner,172555,Galactic Cuisine Critic,alto,"Welcome Astroflux, the Asteroid Miner shaping celestial treasures with their whimsical sculptures! When not extracting valuable resources from asteroids, Astroflux molds alien wonders with their skilled hands, creating ethereal masterpieces. They savor the sweetness of cookies, indulging in sweet flavors that ignite their creativity. And as soulful R&B melodies fill the airwaves, Astroflux's spirit sways to the rhythm, infusing their artistry with soulful vibes. "
39,Galaxion,Isronch Major,4/28/1970,soup,soul,singing,The Hardy Boys series by Franklin W. Dixon,2,"swimming, walking",puppy slippers,Gravity Wave Surfer,155651,Alien Species Conservationist,alto,"Introducing Galaxion, the Gravity Wave Surfer riding celestial tides with grace! When not conquering the swells, Galaxion's voice resonates through the galaxies, harmonizing with the cosmic melodies. They savor the cosmic warmth of homemade soup, sipping flavors that nourish their adventurous spirit. And as soulful rhythms pulse through the expanse, Galaxion's spirit soars, riding the waves of electric energy. Join Galaxion on their whimsical journey, where singing, soup, and soul intertwine, creating a cosmic symphony of surf, flavor, and soulful harmony."
40,Xylovar,Hexapoda Minor,10/22/1999,bread,ska,playing tennis,The Little Prince by Antoine de Saint-Exupéry,4,"swimming, walking",rain boots,Meteorologist of the Cosmos,368565,Celestial Astronomical Photographer,contralto," Xylovar is a Meteorologist of the Cosmos predicting celestial climates! When not deciphering weather patterns, Xylovar serves up aces on the interstellar tennis court, their agile moves leaving opponents in awe. They savor the goodness of warm bread, relishing the flavors that transcend planetary boundaries. And as the lively ska beats reverberate through the cosmos, Xylovar's spirit dances to the rhythm, infusing their weather forecasts with groovy vibes."
41,Quasaria,Graykor 5,7/13/1983,hot dog,reggaeton,yoga,James and the Giant Peach by Roald Dahl,1,"walking, skipping",snow boots,Satellite Repair Specialist,985867,Cosmic Theme Park Designer,contralto,"Enter the realm of Quasaria, the Satellite Repair Specialist mending celestial connections with finesse! When not floating among the stars, Quasaria finds solace in the practice of yoga, gracefully flowing through poses. They satisfy their cravings with the irresistible delight of hot dogs, relishing flavors that transcend galaxies. And as the pulsating beats of reggaeton resonate through the cosmos, Quasaria's spirit ignites, infusing their repairs with rhythm and groove."
42,Cosmara,Hexapoda Minor,12/10/1910,sushi,dance,meditation,Ella Enchanted by Gail Carson Levine,1,rolling,none,Space Psychologist,908470,Space Treasure Hunter,mezzo-soprano,"Cosmara, a practicing Space Psychologist delves into the depths of minds with compassionate insight! When not unraveling deep thoughts, Cosmara finds solace in the practice of meditation, harmonizing mind and spirit. They indulge their cravings with the delicate flavors of sushi, savoring each bite. And as the melodies of dance reverberate through the cosmos, Cosmara's spirit soars, channeling the energy into their therapeutic sessions. "
43,Solanis,Zacon II,3/7/1916,pizza,dubstep,woodworking,A Series of Unfortunate Events by Lemony Snicket,3,roller skating,rainbow roller skates,Orbital Architect,937585,Extraterrestrial Talent Scout,tenor,"Welcome Solanis, an Orbital Architect sculpting wonders with their otherworldly craftsmanship! When not designing cosmic structures, Solanis shapes interstellar creations with their skilled hands, transforming raw materials into ethereal masterpieces. They savor the cosmic delight of intergalactic pizza, indulging in flavors that transcend planetary boundaries. And as the electrifying beats of dubstep echo through the cosmic expanse, Solanis's spirit ignites, infusing their designs with pulsating energy. Join Solanis on their whimsical journey, where woodworking, pizza, and dubstep converge, creating a cosmic symphony of architecture, flavor, and futuristic vibrations. Let the cosmic creations unfold!"
44,Lunatix,Krachonk,6/7/1953,pasta,ambient,calligraphy,The Magic Tree House series by Mary Pope Osborne,1,"walking, running",lace-up boots,Interplanetary Wildlife Conservationist,962671,Interplanetary Wellness Retreat Owner,alto,"Embark on a journey with LunaBx, the Interplanetary Wildlife Conservationist safeguarding the wonders of alien fauna with boundless passion! When not advocating for cosmic creatures, LunaBx wields brushes, their calligraphy strokes evoking unworldly beauty. They indulge their cravings with the delectable harmony of pasta. And as the ethereal melodies of ambient music drift through the airwaves, LunaBx's spirit soars, finding solace and inspiration in the atmospheric tunes. "
45,Orionis,Proboscisk,7/25/1941,tacos,trance,origami,The Indian in the Cupboard by Lynne Reid Banks,1,"walking, skipping",ankle boots,Stellar Energy Engineer,737131,Astrological Astral Travel Guide,baritone,"Welcome Orionis, the Stellar Energy Engineer harnessing celestial power with inventive prowess! When not mastering cosmic energy, Orionis molds wonders with the delicate art of origami, folding possibilities into tangible form. They savor the fusion of interplanetary tacos, delighting in flavors that transcend galactic boundaries. And as the mesmerizing beats of trance music transport their spirit through the cosmos, Orionis's energy aligns, infusing their engineering feats with captivating rhythm."
46,Stellavia,Amethystopia,12/14/1970,burger,instrumental,rock climbing,Mr. Popper's Penguins by Richard and Florence Atwater,1,walking,chelsea boots,Space Weather Forecaster,898822,Stellar Astral Painter,bass,"Step into the realm of Stellavia, the Space Weather Forecaster decoding celestial patterns with cosmic insight! When not predicting the weather, Stellavia ascends the heights, conquering steep cliffs with daring grace in the world of rock climbing. They savor the juiciness of intergalactic burgers, relishing each flavorful bite. And as instrumental melodies weave through the expanse, Stellavia's spirit soars, finding solace and inspiration in the harmonious tunes."
47,Meteoria,Hexapoda Minor,1/3/2002,fries,opera,astronomy,The Phantom Tollbooth by Norton Juster,3,roller skating,derby shoes,Astrofuturist,851101,Intergalactic Astronaut Trainer,alto,"Welcome Meteoria, an Astrofuturist envisioning metagalactic possibilities with boundless imagination! When not exploring other realms, Meteoria gazes upon starry wonders, their love for astronomy shining brighter than the galaxies themselves. They indulge in the cosmic delight of tasty fries, relishing each crispy bite. And as the majestic notes of opera echo through the expanse, Meteoria's spirit soars, finding inspiration and grandeur in the melodic tales. "
48,Astraris,Pepinos IV,5/17/1954,ice cream,rock,collecting stamps,"Sarah, Plain and Tall by Patricia MacLachlan",2,"walking, jumping",combat boots,Cosmic Comedian,875623,Cosmic Zen Master,tenor,"Get ready for out of this world laughter with Astraris, the Cosmic Comedian who tickles the galaxies with their interstellar wit! When not cracking jokes, Astraris immerses themselves in the captivating world of stamp collecting, finding joy in the tiny stories captured on each delicate piece. They delight in the many flavors of ice cream, savoring each delightful scoop. And as the energetic riffs of rock music reverberate through the atmosphere, Astraris's spirit ignites, infusing their performances with electrifying energy."
49,Zentoria,Isronch Major,9/8/1908,chocolate,pop,collecting coins,Stuart Little by E.B. White,2,walking,chukka boots,Quantum Physicist of the Universe,"$275,147",Space Exploration Botanist,soprano,"Zentoria is a Quantum Physicist of the Universe who enjoys unraveling the mysteries of the universe! When not delving into the fabric of reality, Zentoria immerses themselves in the enchanting realm of coin collecting, discovering spatial treasures from distant dimensions. They indulge their cravings with the delightful sweetness of chocolate, savoring each heavenly bite. And as the catchy tunes of pop music echo through the atmospheric expanse, Zentoria's spirit dances, finding inspiration and rhythm in the melodies."
50,Novara,Pepinos IV,12/12/1994,salad,jazz,gardening,The Secret Series by Enid Blyton,1,roller skating,unicorn roller skates,Alien Diplomat,439392,Alien Language Instructor for Intergalactic Communication,soprano,"Welcome to the realm of Novara, the Alien Diplomat bridging interstellar connections with diplomacy and charm! When not fostering intergalactic relations, Novara cultivates celestial gardens, their green thumbs nurturing infinite blooms and vibrant flora. They indulge in the freshness of wholesome salads, savoring each crisp bite of vivid greens. And as the smooth melodies of jazz music drift through the airwaves, Novara's spirit sways, finding solace and harmony in the captivating tunes."
51,Celestar,Maedora,1/2/1953,steak,blues,knitting,The Borrowers by Mary Norton,1,walking,slip-on sneakers,Astrological Navigator,963270,Planetary Landscape Photographer,alto,"Step into the realm of Celestar, the Astrological Navigator charting celestial courses with cosmic precision! When not traversing planetary pathways, Celestar weaves out-of-this-world wonders with their knitting needles, fashioning garments fit for cosmic royalty. They savor the succulence of steak, relishing each tender bite of cosmic flavor. And as the soulful notes of blues music echo through the expanse, Celestar's spirit harmonizes, finding solace and rhythm in the melodic tunes. "
